TIME;HOURS2;ORE;YT;LIKE YT;NO LIKE YT;%LIKE;FB;SHARING FB;IG;TOT;LIKE FB
21/02/21 17:15;00:00:00;0;NA;NA;NA;NA;NA;;;;NA
21/02/21 17:30;00:15:00;0.25;NA;NA;NA;NA;1500;83;;;NA
21/02/21 18:30;01:15:00;1.25;NA;NA;NA;NA;2420;403;;;NA
21/02/21 19:00;01:45:00;1.75;NA;NA;NA;NA;19600;645;;;NA
22/02/21 08:00;14:45:00;14.75;NA;NA;NA;NA;86000;;;;NA
22/02/21 09:00;15:45:00;15.75;NA;NA;NA;NA;92100;2041;;;NA
23/02/21 19:00;01:45:00;49.75;21686;NA;NA;NA;NA;;;;NA
23/02/21 20:00;02:45:00;50.75;22050;NA;NA;NA;251000;4477;;;NA
24/02/21 08:00;14:45:00;62.75;24510;NA;NA;NA;NA;;;;NA
24/02/21 13:00;19:45:00;67.75;25246;NA;NA;NA;300000;4942;54394;379640;NA
24/02/21 14:00;20:45:00;68.75;25700;NA;NA;NA;312000;5000;;;NA
25/02/21 10:00;16:45:00;88.75;29665;NA;NA;NA;363000;5674;55000;447665;NA
25/02/21 15:00;21:45:00;93.75;30209;NA;NA;NA;NA;;;;NA
25/02/21 17:00;23:45:00;95.75;30475;NA;NA;NA;NA;;;;NA
25/02/21 18:00;00:45:00;96.75;30734;NA;NA;NA;382744;5870;55140;468618;NA
25/02/21 20:00;02:45:00;98.75;31112;3308;124;0.037484885;388840;5931;55159;475111;NA
25/02/21 00:00;06:45:00;78.75;32137;3392;133;0.039209906;395213;5991;55195;482545;NA
26/02/21 09:00;15:45:00;111.75;32506;3401;134;0.039400176;395908;6000;55200;483614;NA
26/02/21 09:00;15:45:00;111.75;32864;3425;135;0.039416058;398167;6031;55214;486245;NA
26/02/21 12:00;18:45:00;114.75;33272;3458;138;0.039907461;399715;6053;55225;488212;NA
26/02/21 14:00;20:45:00;116.75;33410;NA;NA;NA;400444;NA;55232;489086;NA
26/02/21 15:00;21:45:00;117.75;33552;NA;NA;NA;400995;NA;55240;489787;NA
26/02/21 16:00;22:45:00;118.75;33612;NA;NA;NA;401156;NA;55243;490011;NA
27/02/21 09:00;15:45:00;135.75;36022;3640;262;0.071978022;406079;NA;55288;497389;10649
27/02/21 15:00;21:45:00;141.75;36767;3704;299;0.080723542;407857;NA;55309;499933;10683
28/02/21 09:00;15:45:00;159.75;38700;3838;311;0.081031787;411977;NA;55351;506028;NA
28/02/21 12:00;18:45:00;162.75;38954;3864;312;0.080745342;413465;NA;55365;507784;10769
28/02/21 17:00;23:45:00;167.75;39399;3895;307;0.078818999;415108;NA;55381;509888;10796
01/03/21 08:00;14:45:00;182.75;40537;3954;314;0.079413252;417751;NA;55419;513707;10833
01/03/21 15:00;21:45:00;189.75;40915;4000;315;0.07875;418770;NA;55444;515129;10845
01/03/21 20:00;02:45:00;194.75;42149;4023;318;0.079045488;419360;NA;55452;516961;
02/03/21 14:00;20:45:00;212.75;42126;4083;321;0.078618663;420884;NA;55474;518484;10866
02/03/21 14:00;20:45:00;212.75;42248;4100;321;0.078292683;421444;NA;55475;519167;10871
02/03/21 17:00;23:45:00;215.75;42888;4128;323;0.078246124;422005;NA;55486;520379;10881
03/03/21 08:00;14:45:00;230.75;43383;4143;323;0.077962829;423316;NA;55501;522200;10905
03/03/21 19:00;01:45:00;241.75;43992;4173;323;0.077402348;424521;NA;55520;524033;10923
04/03/21 09:00;15:45:00;255.75;44728;4200;323;0.076904762;425679;NA;55579;525986;10946
07/03/21 11:00;17:45:00;329.75;47835;4351;326;0.074925305;430496;NA;55773;534104;11029
07/03/21 22:00;04:45:00;340.75;48441;4385;326;0.074344356;431567;6462;55839;535847;11051
